tag,genus,species,division,updated,treeID,XTOP,YTOP,ZTOP,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,pground,n,area
9068,Pseudotsuga,menziesii,Coniferous,2010-03-16,3404,481297.47000000003,5456766.41,33.33,33.33,22.646747835497838,7.561964404852432,-1.1393986549439374,3.7932414725118355,0.9001708642397251,61.25541125541125,97.45670995670996,7.031000000000001,11.049000000000003,14.491500000000002,17.388,19.2775,20.672000000000004,21.954500000000003,22.868000000000002,23.6815,24.650000000000002,25.627000000000002,26.242000000000004,26.90650000000001,27.45,28.032500000000002,28.63,29.52,30.603,31.3265,2.8695181375203034,4.76448294531673,8.825121819166215,13.156469951272333,18.841364374661612,27.720628045479156,43.692474282620466,62.804547915538706,86.3021115322144,1122295,1496,607.3024891774892,245.6526966649241,-0.40303662798759826,2.373681731837307,1.9607144289157485,9.22716398094975,26.734058335820798,47.832789061699465,68.21308123087067,89.11293376518653,68.61471861471861,27.164502164502164,4.004329004329004,0.21645021645021645,0,2.0562770562770565,1848,118.3623999984771
9067,Pseudotsuga,menziesii,Coniferous,2010-03-16,3404,481297.47000000003,5456766.41,33.33,33.33,22.646747835497838,7.561964404852432,-1.1393986549439374,3.7932414725118355,0.9001708642397251,61.25541125541125,97.45670995670996,7.031000000000001,11.049000000000003,14.491500000000002,17.388,19.2775,20.672000000000004,21.954500000000003,22.868000000000002,23.6815,24.650000000000002,25.627000000000002,26.242000000000004,26.90650000000001,27.45,28.032500000000002,28.63,29.52,30.603,31.3265,2.8695181375203034,4.76448294531673,8.825121819166215,13.156469951272333,18.841364374661612,27.720628045479156,43.692474282620466,62.804547915538706,86.3021115322144,1122295,1496,607.3024891774892,245.6526966649241,-0.40303662798759826,2.373681731837307,1.9607144289157485,9.22716398094975,26.734058335820798,47.832789061699465,68.21308123087067,89.11293376518653,68.61471861471861,27.164502164502164,4.004329004329004,0.21645021645021645,0,2.0562770562770565,1848,118.3623999984771
9273,Thuja,plicata,Coniferous,2010-03-16,3527,481178.35000000003,5456757.98,23.72,23.72,13.858639287481445,7.279346367881146,-0.7788497787289119,2.2509503113956617,0.9115955158234661,63.829787234042556,87.87728847105394,0,0.05,2.800000000000003,6.24,8.68,11.11,13.100000000000001,14.68,16.04,16.7,17.21,17.72,18.490000000000006,18.990000000000002,19.39,19.94,20.580000000000002,21.37,22.17,13.910891089108912,17.821782178217823,22.623762376237625,25.742574257425744,32.42574257425743,37.722772277227726,48.86138613861387,69.9009900990099,89.9009900990099,1557156,1542,770.487877288471,286.10997933270204,-0.1959095162657495,2.991428952544556,9.916283275407217,16.42988884864458,35.51853507291498,53.71067510255877,72.19507872043648,90.75596793127984,79.3171697179614,19.643740722414645,0.9896091044037605,0.04948045522018803,0,6.729341909945571,2021,23.860200001262314
9272,Thuja,plicata,Coniferous,2010-03-16,3527,481178.35000000003,5456757.98,23.72,23.72,13.858639287481445,7.279346367881146,-0.7788497787289119,2.2509503113956617,0.9115955158234661,63.829787234042556,87.87728847105394,0,0.05,2.800000000000003,6.24,8.68,11.11,13.100000000000001,14.68,16.04,16.7,17.21,17.72,18.490000000000006,18.990000000000002,19.39,19.94,20.580000000000002,21.37,22.17,13.910891089108912,17.821782178217823,22.623762376237625,25.742574257425744,32.42574257425743,37.722772277227726,48.86138613861387,69.9009900990099,89.9009900990099,1557156,1542,770.487877288471,286.10997933270204,-0.1959095162657495,2.991428952544556,9.916283275407217,16.42988884864458,35.51853507291498,53.71067510255877,72.19507872043648,90.75596793127984,79.3171697179614,19.643740722414645,0.9896091044037605,0.04948045522018803,0,6.729341909945571,2021,23.860200001262314
9271,Thuja,plicata,Coniferous,2010-03-16,3541,481182.88,5456756.59,23.95,23.95,19.051328790459966,2.793098046664991,-3.3021130550860778,23.291227460367825,0.6685725450638857,52.38500851788756,98.9778534923339,16.262999999999998,16.86,17.329500000000003,17.596,17.7725,17.999,18.26,18.62,18.95,19.17,19.431500000000003,19.71,20.009,20.41,20.747500000000002,21.084000000000003,21.390500000000003,21.990000000000002,22.433500000000002,1.0230179028132993,1.0230179028132993,1.0230179028132993,1.1082693947144076,1.4492753623188406,2.47229326513214,8.86615515771526,49.4458653026428,86.53026427962489,849109,1230,723.2614991482112,255.57114000651512,-0.7259446567107413,2.783222161584006,0.5229010645276402,7.985193891479186,28.076136279323382,48.40697719609614,69.01033907307543,89.37297802755594,75.63884156729131,21.890971039182283,2.2146507666098807,0.2555366269165247,0,0.9369676320272573,1174,24.750600002082624
9173,Thuja,plicata,Coniferous,2010-03-16,57,481096.81,5456997.08,34.01,34.01,21.275643459915614,7.862107720675093,-0.8001228102418597,3.010284474177434,0.9051039745025772,56.75105485232067,95.46413502109705,2.5370000000000004,10.536000000000001,13.19,14.524000000000001,15.9,17.361,18.741500000000002,19.804000000000002,21.926000000000005,23.455,24.490000000000002,25.332,26.09,26.52,27.5425,28.076,28.939,30.01,30.833,5.279831045406547,5.4910242872228086,9.186906019007392,16.473072861668427,28.511087645195353,41.92185850052798,51.5311510031679,72.01689545934529,94.40337909186906,609602,1175,643.0400843881856,276.2638586867018,-0.43725772126876844,2.05430897120108,0.2604978330123589,8.250629098985895,26.42281357344628,43.96507885472817,65.45959494883546,88.34108155813138,65.084388185654,28.059071729957807,5.69620253164557,1.0548523206751055,0.10548523206751054,0.5274261603375527,948,94.68449999092275
9172,Thuja,plicata,Coniferous,2010-03-16,73,481091.8,5456999.61,32.59,32.59,22.832927461139896,6.688951377972809,-1.9384353916478907,7.093048809318366,0.818942334299235,62.82383419689119,95.46632124352331,6.791,16.133000000000003,18.607000000000006,19.924000000000003,21.1325,21.929,22.488500000000002,23.21,23.829500000000003,24.345,25.0005,25.476,25.893000000000004,26.38,26.832500000000003,27.240000000000002,27.862500000000004,29.03,29.958999999999996,4.539559014267185,4.6692607003891045,6.485084306095979,7.003891050583658,10.246433203631648,17.380025940337223,37.094682230869005,67.05577172503243,91.43968871595331,436196,1394,565.020725388601,268.91292827609766,-0.012215210414264956,2.168373730145557,4.868224376197856,8.592009096828031,24.255609863455877,43.31814138598245,65.1672642573522,87.86692220928207,54.40414507772021,35.49222797927461,9.067357512953368,1.0362694300518136,0,4.404145077720207,772,41.690399999712035
9171,Thuja,plicata,Coniferous,2010-03-16,73,481091.8,5456999.61,32.59,32.59,22.832927461139896,6.688951377972809,-1.9384353916478907,7.093048809318366,0.818942334299235,62.82383419689119,95.46632124352331,6.791,16.133000000000003,18.607000000000006,19.924000000000003,21.1325,21.929,22.488500000000002,23.21,23.829500000000003,24.345,25.0005,25.476,25.893000000000004,26.38,26.832500000000003,27.240000000000002,27.862500000000004,29.03,29.958999999999996,4.539559014267185,4.6692607003891045,6.485084306095979,7.003891050583658,10.246433203631648,17.380025940337223,37.094682230869005,67.05577172503243,91.43968871595331,436196,1394,565.020725388601,268.91292827609766,-0.012215210414264956,2.168373730145557,4.868224376197856,8.592009096828031,24.255609863455877,43.31814138598245,65.1672642573522,87.86692220928207,54.40414507772021,35.49222797927461,9.067357512953368,1.0362694300518136,0,4.404145077720207,772,41.690399999712035
9393,Fraxinus,americana,Broadleaf,2010-03-16,248,481067.96,5456983.51,11.9,11.9,5.224431960049937,3.3648451255559917,-0.3037476534425362,1.8323079125440551,0.923674404574095,55.80524344569289,76.21722846441948,0,0,0.06150000000000034,1.0620000000000005,2.3875,3.33,4.04,4.8,5.364500000000001,5.93,6.42,6.82,7.140000000000001,7.534000000000002,7.91,8.476000000000004,8.86,9.338000000000006,9.82,20.424734540911928,24.984384759525295,31.48032479700187,39.72517176764522,50.15615240474703,64.95940037476576,78.88819487820112,91.38038725796378,99.18800749531542,1082266,1960,675.5717852684145,285.97195916215617,0.095526951420133,3.2385909327612996,15.491478065466346,15.491478065466346,31.607571521234153,49.26071779026598,68.68098970123796,89.27685060789122,64.54431960049938,28.46441947565543,6.367041198501873,0.6242197253433208,0,13.420724094881397,1602,83.261000002102
9394,Thuja,plicata,Coniferous,2010-03-16,248,481067.96,5456983.51,11.9,11.9,5.224431960049937,3.3648451255559917,-0.3037476534425362,1.8323079125440551,0.923674404574095,55.80524344569289,76.21722846441948,0,0,0.06150000000000034,1.0620000000000005,2.3875,3.33,4.04,4.8,5.364500000000001,5.93,6.42,6.82,7.140000000000001,7.534000000000002,7.91,8.476000000000004,8.86,9.338000000000006,9.82,20.424734540911928,24.984384759525295,31.48032479700187,39.72517176764522,50.15615240474703,64.95940037476576,78.88819487820112,91.38038725796378,99.18800749531542,1082266,1960,675.5717852684145,285.97195916215617,0.095526951420133,3.2385909327612996,15.491478065466346,15.491478065466346,31.607571521234153,49.26071779026598,68.68098970123796,89.27685060789122,64.54431960049938,28.46441947565543,6.367041198501873,0.6242197253433208,0,13.420724094881397,1602,83.261000002102
